what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1518077219961
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1518077220119
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1518077221892
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1518077221918
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077223742
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077224688
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1518077224702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077227262
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077227882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518077252055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518078688204
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518078688861
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518078689890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518078690380
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1518078703270
